|======================Sat Nov 29 2014======================|
                     SOLARCAR  DEBUG  LOG
|===========================================================|
10:48:07:833 | PARSED-STRING: Mod3CellVoltage2:3891
             | RAW-STRING   : #493891

10:48:07:897 | PARSED-STRING: Mod3CellVoltage3:3888
             | RAW-STRING   : #503888

10:48:07:945 | PARSED-STRING: Mod3CellVoltage4:3891
             | RAW-STRING   : #513891

10:48:08:025 | PARSED-STRING: Mod3CellVoltage5:3893
             | RAW-STRING   : #523893

10:48:08:073 | PARSED-STRING: Mod3CellVoltage6:3915
             | RAW-STRING   : #533915

10:48:08:137 | PARSED-STRING: Mod3CellVoltage7:3893
             | RAW-STRING   : #543893

10:48:08:217 | PARSED-STRING: BatteryVoltage:3915
             | RAW-STRING   : #553915

10:48:08:265 | PARSED-STRING: BatteryCurrent:26459
             | RAW-STRING   : #5626459

10:48:08:313 | PARSED-STRING: BatteryVoltageThresholdRising:23
             | RAW-STRING   : #5723

10:48:08:393 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

10:48:08:457 | PARSED-STRING: 57279619
             | RAW-STRING   : #5957279619

10:48:08:569 | PARSED-STRING: 0
             | RAW-STRING   : #000

10:48:08:649 | PARSED-STRING: DriverSetSpeedRPM:0
             | RAW-STRING   : #010

10:48:08:713 | PARSED-STRING: DriverSetCurrent:553
             | RAW-STRING   : #02553

10:48:08:777 | PARSED-STRING: VehicleVelocity:0
             | RAW-STRING   : #030

10:48:08:825 | PARSED-STRING: BusCurrentA:18489
             | RAW-STRING   : #0418489

10:48:08:905 | PARSED-STRING: BusVoltage:5388
             | RAW-STRING   : #055388

10:48:08:969 | PARSED-STRING: MotorVelocityRpm:-5
             | RAW-STRING   : #06-5

10:48:09:017 | PARSED-STRING: MotorVoltageReal:0
             | RAW-STRING   : #070

10:48:09:081 | PARSED-STRING: MotorCurrentReal:320
             | RAW-STRING   : #08320

10:48:09:161 | PARSED-STRING: BackEmfImaginary:29851
             | RAW-STRING   : #0929851

10:48:09:209 | PARSED-STRING: DspBoardTemp:31738
             | RAW-STRING   : #1131738

10:48:09:257 | PARSED-STRING: TransmittedErrorCount:0
             | RAW-STRING   : #140

10:48:09:337 | PARSED-STRING: Mod0PcbTemperature:0
             | RAW-STRING   : #150

10:48:09:401 | PARSED-STRING: Mod0CellTemperature:3038
             | RAW-STRING   : #163038

10:48:09:449 | PARSED-STRING: Mod0CellVoltage0:164
             | RAW-STRING   : #17164

10:48:09:513 | PARSED-STRING: Mod0CellVoltage1:3897
             | RAW-STRING   : #183897

10:48:09:577 | PARSED-STRING: Mod0CellVoltage2:3903
             | RAW-STRING   : #193903

10:48:09:657 | PARSED-STRING: Mod0PcbTemperature:3897
             | RAW-STRING   : #203897

10:48:09:721 | PARSED-STRING: Mod0CellVoltage4:3903
             | RAW-STRING   : #213903

10:48:09:769 | PARSED-STRING: Mod0CellVoltage5:8206
             | RAW-STRING   : #228206

10:48:09:833 | PARSED-STRING: Mod0CellVoltage6:3909
             | RAW-STRING   : #233909

10:48:09:897 | PARSED-STRING: Mod0CellVoltage7:8206
             | RAW-STRING   : #248206

10:48:09:961 | PARSED-STRING: Mod1PcbTemperature:3909
             | RAW-STRING   : #253909

10:48:10:025 | PARSED-STRING: Mod1CellTemperature:9737
             | RAW-STRING   : #269737

10:48:10:073 | PARSED-STRING: Mod1CellVoltage0:167
             | RAW-STRING   : #27167

10:48:10:154 | PARSED-STRING: Mod1CellVoltage1:3899
             | RAW-STRING   : #283899

10:48:10:201 | PARSED-STRING: Mod1CellVoltage2:3896
             | RAW-STRING   : #293896

10:48:10:281 | PARSED-STRING: Mod1CellVoltage3:3899
             | RAW-STRING   : #303899

10:48:10:361 | PARSED-STRING: Mod1CellVoltage4:3896
             | RAW-STRING   : #313896

10:48:10:409 | PARSED-STRING: Mod1CellVoltage5:3906
             | RAW-STRING   : #323906

10:48:10:457 | PARSED-STRING: Mod1CellVoltage6:3917
             | RAW-STRING   : #333917

10:48:10:521 | PARSED-STRING: Mod1CellVoltage7:3906
             | RAW-STRING   : #343906

10:48:10:585 | PARSED-STRING: Mod2PcbTemperature:3917
             | RAW-STRING   : #353917

10:48:10:649 | PARSED-STRING: Mod2CellTemperature:3035
             | RAW-STRING   : #363035

10:48:10:713 | PARSED-STRING: Mod2CellVoltage0:178
             | RAW-STRING   : #37178

10:48:10:777 | PARSED-STRING: Mod2CellVoltage1:3895
             | RAW-STRING   : #383895

10:48:10:826 | PARSED-STRING: Mod2CellVoltage2:3896
             | RAW-STRING   : #393896

10:48:10:889 | PARSED-STRING: Mod2CellVoltage3:3895
             | RAW-STRING   : #403895

10:48:10:953 | PARSED-STRING: Mod2CellVoltage4:3896
             | RAW-STRING   : #413896

10:48:11:033 | PARSED-STRING: Mod2CellVoltage5:3897
             | RAW-STRING   : #423897

10:48:11:081 | PARSED-STRING: Mod2CellVoltage6:3878
             | RAW-STRING   : #433878

10:48:11:161 | PARSED-STRING: Mod2CellVoltage7:3897
             | RAW-STRING   : #443897

10:48:11:225 | PARSED-STRING: Mod3PcbTemperature:3878
             | RAW-STRING   : #453878

10:48:11:257 | PARSED-STRING: Mod3CellTemperature:3039
             | RAW-STRING   : #463039

10:48:11:321 | PARSED-STRING: Mod3CellVoltage0:183
             | RAW-STRING   : #47183

10:48:11:402 | PARSED-STRING: Mod3CellVoltage1:3889
             | RAW-STRING   : #483889

10:48:11:466 | PARSED-STRING: Mod3CellVoltage2:3892
             | RAW-STRING   : #493892

10:48:11:529 | PARSED-STRING: Mod3CellVoltage3:3889
             | RAW-STRING   : #503889

10:48:11:577 | PARSED-STRING: Mod3CellVoltage4:3892
             | RAW-STRING   : #513892

10:48:11:657 | PARSED-STRING: Mod3CellVoltage5:3894
             | RAW-STRING   : #523894

10:48:11:705 | PARSED-STRING: Mod3CellVoltage6:3915
             | RAW-STRING   : #533915

10:48:11:769 | PARSED-STRING: Mod3CellVoltage7:3894
             | RAW-STRING   : #543894

10:48:11:833 | PARSED-STRING: BatteryVoltage:3915
             | RAW-STRING   : #553915

10:48:11:897 | PARSED-STRING: BatteryCurrent:18318
             | RAW-STRING   : #5618318

10:48:11:961 | PARSED-STRING: BatteryVoltageThresholdRising:23
             | RAW-STRING   : #5723

10:48:12:009 | PARSED-STRING: BatteryVoltageThresholdFalling:235933700
             | RAW-STRING   : #58235933700

10:48:12:074 | PARSED-STRING: 57279619
             | RAW-STRING   : #5957279619

10:48:12:217 | PARSED-STRING: 0
             | RAW-STRING   : #000

10:48:12:282 | PARSED-STRING: DriverSetSpeedRPM:0
             | RAW-STRING   : #010

10:48:12:345 | PARSED-STRING: DriverSetCurrent:0
             | RAW-STRING   : #020

10:48:12:393 | PARSED-STRING: VehicleVelocity:0
             | RAW-STRING   : #030

10:48:12:458 | PARSED-STRING: BusCurrentA:13457
             | RAW-STRING   : #0413457

10:48:12:505 | PARSED-STRING: BusVoltage:0
             | RAW-STRING   : #050

10:48:12:586 | PARSED-STRING: MotorVelocityRpm:-9
             | RAW-STRING   : #06-9

10:48:12:649 | PARSED-STRING: MotorVoltageReal:0
             | RAW-STRING   : #070

10:48:12:698 | PARSED-STRING: MotorCurrentReal:0
             | RAW-STRING   : #080

10:48:12:762 | PARSED-STRING: BackEmfImaginary:29882
             | RAW-STRING   : #0929882

